#    L    TT             EE             BB             TE          
    71   0.189106E+04   0.341492E+00   0.149571E-02  -0.617954E+01
    72   0.191573E+04   0.354947E+00   0.153816E-02  -0.663856E+01
    73   0.194056E+04   0.368589E+00   0.158120E-02  -0.711187E+01
    74   0.196559E+04   0.382405E+00   0.162483E-02  -0.759838E+01
    75   0.199094E+04   0.396405E+00   0.166907E-02  -0.809639E+01
    76   0.201658E+04   0.410589E+00   0.171390E-02  -0.860509E+01
    77   0.204255E+04   0.424949E+00   0.175934E-02  -0.912428E+01
    78   0.206889E+04   0.439509E+00   0.180537E-02  -0.965536E+01
    79   0.209541E+04   0.454213E+00   0.185202E-02  -0.101946E+02
    80   0.212221E+04   0.469065E+00   0.189927E-02  -0.107433E+02
    81   0.214921E+04   0.484013E+00   0.194713E-02  -0.113021E+02
    82   0.217645E+04   0.499079E+00   0.199560E-02  -0.118701E+02
    83   0.220389E+04   0.514238E+00   0.204469E-02  -0.124470E+02
    84   0.223159E+04   0.529487E+00   0.209440E-02  -0.130312E+02
    85   0.225942E+04   0.544800E+00   0.214473E-02  -0.136238E+02
    86   0.228745E+04   0.560192E+00   0.219568E-02  -0.142238E+02
    87   0.231591E+04   0.575630E+00   0.224726E-02  -0.148305E+02
    88   0.234436E+04   0.591129E+00   0.229947E-02  -0.154437E+02
    89   0.237317E+04   0.606673E+00   0.235232E-02  -0.160650E+02
    90   0.240219E+04   0.622226E+00   0.240580E-02  -0.166911E+02
    91   0.243136E+04   0.637778E+00   0.245992E-02  -0.173230E+02
    92   0.246081E+04   0.653316E+00   0.251468E-02  -0.179597E+02
    93   0.249056E+04   0.668830E+00   0.257009E-02  -0.186013E+02
    94   0.252038E+04   0.684286E+00   0.262615E-02  -0.192465E+02
    95   0.255049E+04   0.699681E+00   0.268286E-02  -0.198959E+02
    96   0.258059E+04   0.715002E+00   0.274023E-02  -0.205488E+02
    97   0.261115E+04   0.730233E+00   0.279827E-02  -0.212046E+02
    98   0.264192E+04   0.745367E+00   0.285696E-02  -0.218609E+02
    99   0.267276E+04   0.760367E+00   0.291632E-02  -0.225209E+02
   100   0.270391E+04   0.775233E+00   0.297636E-02  -0.231801E+02
   101   0.273520E+04   0.790024E+00   0.303706E-02  -0.238414E+02
   102   0.276701E+04   0.804591E+00   0.309845E-02  -0.245027E+02
   103   0.279876E+04   0.819010E+00   0.316052E-02  -0.251648E+02
   104   0.283073E+04   0.833279E+00   0.322328E-02  -0.258246E+02
   105   0.286285E+04   0.847325E+00   0.328672E-02  -0.264838E+02
   106   0.289520E+04   0.861221E+00   0.335086E-02  -0.271416E+02
   107   0.292748E+04   0.874820E+00   0.341570E-02  -0.277965E+02
   108   0.296014E+04   0.888195E+00   0.348123E-02  -0.284494E+02
   109   0.299295E+04   0.901272E+00   0.354748E-02  -0.290987E+02
   110   0.302585E+04   0.914052E+00   0.361443E-02  -0.297430E+02
   111   0.305890E+04   0.926608E+00   0.368210E-02  -0.303837E+02
   112   0.309211E+04   0.938866E+00   0.375048E-02  -0.310202E+02
   113   0.312555E+04   0.950825E+00   0.381959E-02  -0.316509E+02
   114   0.315907E+04   0.962411E+00   0.388942E-02  -0.322750E+02
   115   0.319283E+04   0.973772E+00   0.395999E-02  -0.328925E+02
   116   0.322658E+04   0.984685E+00   0.403129E-02  -0.335026E+02
   117   0.326065E+04   0.995224E+00   0.410334E-02  -0.341044E+02
   118   0.329486E+04   0.100554E+01   0.417612E-02  -0.346987E+02
   119   0.332908E+04   0.101548E+01   0.424966E-02  -0.352833E+02
   120   0.336346E+04   0.102489E+01   0.432396E-02  -0.358580E+02
   121   0.339784E+04   0.103408E+01   0.439902E-02  -0.364229E+02
   122   0.343229E+04   0.104274E+01   0.447484E-02  -0.369771E+02
   123   0.346683E+04   0.105095E+01   0.455144E-02  -0.375207E+02
   124   0.350144E+04   0.105879E+01   0.462881E-02  -0.380505E+02
   125   0.353605E+04   0.106617E+01   0.470697E-02  -0.385688E+02
   126   0.357074E+04   0.107318E+01   0.478592E-02  -0.390749E+02
   127   0.360543E+04   0.107967E+01   0.486566E-02  -0.395678E+02
   128   0.364013E+04   0.108577E+01   0.494621E-02  -0.400469E+02
   129   0.367489E+04   0.109135E+01   0.502757E-02  -0.405113E+02
   130   0.370966E+04   0.109640E+01   0.510974E-02  -0.409602E+02
   131   0.374443E+04   0.110107E+01   0.519273E-02  -0.413952E+02
   132   0.377927E+04   0.110522E+01   0.527655E-02  -0.418133E+02
   133   0.381404E+04   0.110891E+01   0.536121E-02  -0.422166E+02
   134   0.384880E+04   0.111215E+01   0.544671E-02  -0.426008E+02
   135   0.388357E+04   0.111486E+01   0.553306E-02  -0.429689E+02
   136   0.391819E+04   0.111705E+01   0.562026E-02  -0.433172E+02
   137   0.395281E+04   0.111879E+01   0.570833E-02  -0.436479E+02
   138   0.398736E+04   0.111999E+01   0.579727E-02  -0.439595E+02
   139   0.402169E+04   0.112082E+01   0.588708E-02  -0.442514E+02
   140   0.405609E+04   0.112105E+01   0.597778E-02  -0.445243E+02
   141   0.409027E+04   0.112076E+01   0.606937E-02  -0.447760E+02
   142   0.412445E+04   0.112001E+01   0.616186E-02  -0.450072E+02
   143   0.415857E+04   0.111881E+01   0.625525E-02  -0.452181E+02
   144   0.419246E+04   0.111709E+01   0.634956E-02  -0.454078E+02
   145   0.422620E+04   0.111498E+01   0.644478E-02  -0.455757E+02
   146   0.426002E+04   0.111228E+01   0.654092E-02  -0.457218E+02
   147   0.429348E+04   0.110920E+01   0.663800E-02  -0.458445E+02
   148   0.432679E+04   0.110560E+01   0.673601E-02  -0.459455E+02
   149   0.436003E+04   0.110154E+01   0.683497E-02  -0.460233E+02
   150   0.439297E+04   0.109711E+01   0.693487E-02  -0.460756E+02
   151   0.442577E+04   0.109223E+01   0.703573E-02  -0.461054E+02
   152   0.445828E+04   0.108682E+01   0.713755E-02  -0.461113E+02
   153   0.449064E+04   0.108104E+01   0.724033E-02  -0.460910E+02
   154   0.452278E+04   0.107488E+01   0.734408E-02  -0.460467E+02
   155   0.455469E+04   0.106835E+01   0.744880E-02  -0.459776E+02
   156   0.458622E+04   0.106144E+01   0.755449E-02  -0.458837E+02
   157   0.461768E+04   0.105416E+01   0.766117E-02  -0.457635E+02
   158   0.464884E+04   0.104657E+01   0.776882E-02  -0.456177E+02
   159   0.467969E+04   0.103854E+01   0.787746E-02  -0.454463E+02
   160   0.471031E+04   0.103021E+01   0.798709E-02  -0.452478E+02
   161   0.474070E+04   0.102166E+01   0.809771E-02  -0.450237E+02
   162   0.477077E+04   0.101273E+01   0.820932E-02  -0.447739E+02
   163   0.480069E+04   0.100351E+01   0.832192E-02  -0.444969E+02
   164   0.483015E+04   0.994061E+00   0.843551E-02  -0.441942E+02
   165   0.485944E+04   0.984315E+00   0.855009E-02  -0.438635E+02
   166   0.488842E+04   0.974421E+00   0.866567E-02  -0.435063E+02
   167   0.491715E+04   0.964155E+00   0.878223E-02  -0.431233E+02
   168   0.494543E+04   0.953890E+00   0.889979E-02  -0.427123E+02
   169   0.497338E+04   0.943328E+00   0.901833E-02  -0.422733E+02
   170   0.500101E+04   0.932694E+00   0.913786E-02  -0.418076E+02
   171   0.502817E+04   0.921986E+00   0.925837E-02  -0.413131E+02
   172   0.505494E+04   0.911131E+00   0.937986E-02  -0.407912E+02
   173   0.508123E+04   0.900130E+00   0.950233E-02  -0.402419E+02
   174   0.510720E+04   0.889280E+00   0.962576E-02  -0.396652E+02
   175   0.513277E+04   0.878284E+00   0.975017E-02  -0.390603E+02
   176   0.515779E+04   0.867364E+00   0.987554E-02  -0.384271E+02
   177   0.518240E+04   0.856448E+00   0.100019E-01  -0.377673E+02
   178   0.520654E+04   0.845758E+00   0.101291E-01  -0.370793E+02
   179   0.523021E+04   0.834999E+00   0.102574E-01  -0.363631E+02
   180   0.525355E+04   0.824392E+00   0.103865E-01  -0.356202E+02
   181   0.527634E+04   0.813939E+00   0.105166E-01  -0.348507E+02
   182   0.529866E+04   0.803715E+00   0.106477E-01  -0.340530E+02
   183   0.532044E+04   0.793645E+00   0.107796E-01  -0.332287E+02
   184   0.534181E+04   0.783805E+00   0.109125E-01  -0.323771E+02
   185   0.536272E+04   0.774343E+00   0.110462E-01  -0.315003E+02
   186   0.538278E+04   0.765119E+00   0.111809E-01  -0.305955E+02
   187   0.540268E+04   0.756273E+00   0.113165E-01  -0.296641E+02
   188   0.542203E+04   0.747793E+00   0.114529E-01  -0.287076E+02
   189   0.544076E+04   0.739715E+00   0.115902E-01  -0.277246E+02
   190   0.545933E+04   0.732091E+00   0.117284E-01  -0.267173E+02
   191   0.547698E+04   0.724945E+00   0.118674E-01  -0.256827E+02
   192   0.549424E+04   0.718299E+00   0.120072E-01  -0.246231E+02
   193   0.551088E+04   0.712198E+00   0.121479E-01  -0.235400E+02
   194   0.552714E+04   0.706671E+00   0.122894E-01  -0.224312E+02
   195   0.554278E+04   0.701758E+00   0.124318E-01  -0.212989E+02
   196   0.555781E+04   0.697494E+00   0.125749E-01  -0.201423E+02
   197   0.557238E+04   0.693925E+00   0.127188E-01  -0.189631E+02
   198   0.558642E+04   0.691074E+00   0.128635E-01  -0.177604E+02
   199   0.559992E+04   0.688977E+00   0.130090E-01  -0.165350E+02
   200   0.561288E+04   0.687666E+00   0.131552E-01  -0.152877E+02
   201   0.562524E+04   0.687199E+00   0.133022E-01  -0.140177E+02
   202   0.563706E+04   0.687585E+00   0.134500E-01  -0.127266E+02
   203   0.564827E+04   0.688883E+00   0.135984E-01  -0.114135E+02
   204   0.565880E+04   0.691116E+00   0.137476E-01  -0.100816E+02
   205   0.566880E+04   0.694329E+00   0.138975E-01  -0.872852E+01
   206   0.567811E+04   0.698559E+00   0.140480E-01  -0.735563E+01
   207   0.568689E+04   0.703830E+00   0.141993E-01  -0.596335E+01
   208   0.569492E+04   0.710193E+00   0.143512E-01  -0.455223E+01
   209   0.570233E+04   0.717671E+00   0.145038E-01  -0.312265E+01
   210   0.570914E+04   0.726317E+00   0.146570E-01  -0.167552E+01
   211   0.571534E+04   0.736160E+00   0.148108E-01  -0.210904E+00
   212   0.572079E+04   0.747230E+00   0.149653E-01   0.127024E+01
   213   0.572570E+04   0.759573E+00   0.151203E-01   0.276794E+01
   214   0.572993E+04   0.773181E+00   0.152760E-01   0.428099E+01
   215   0.573355E+04   0.788247E+00   0.154322E-01   0.580863E+01
   216   0.573649E+04   0.804587E+00   0.155890E-01   0.735135E+01
   217   0.573890E+04   0.822356E+00   0.157463E-01   0.890716E+01
   218   0.574062E+04   0.841554E+00   0.159042E-01   0.104762E+02
   219   0.574174E+04   0.862183E+00   0.160626E-01   0.120596E+02
   220   0.574225E+04   0.884390E+00   0.162214E-01   0.136527E+02
   221   0.574215E+04   0.908102E+00   0.163808E-01   0.152577E+02
   222   0.574145E+04   0.933468E+00   0.165406E-01   0.168733E+02
   223   0.573999E+04   0.960412E+00   0.167009E-01   0.185001E+02
   224   0.573807E+04   0.988936E+00   0.168616E-01   0.201343E+02
   225   0.573547E+04   0.101919E+01   0.170227E-01   0.217790E+02
   226   0.573226E+04   0.105117E+01   0.171843E-01   0.234305E+02
   227   0.572837E+04   0.108488E+01   0.173462E-01   0.250901E+02
   228   0.572395E+04   0.112032E+01   0.175084E-01   0.267564E+02
   229   0.571892E+04   0.115756E+01   0.176711E-01   0.284279E+02
   230   0.571321E+04   0.119660E+01   0.178340E-01   0.301054E+02
   231   0.570682E+04   0.123753E+01   0.179973E-01   0.317880E+02
   232   0.569990E+04   0.128025E+01   0.181608E-01   0.334744E+02
   233   0.569237E+04   0.132500E+01   0.183246E-01   0.351629E+02
   234   0.568408E+04   0.137163E+01   0.184887E-01   0.368543E+02
   235   0.567526E+04   0.142022E+01   0.186530E-01   0.385471E+02
   236   0.566576E+04   0.147075E+01   0.188175E-01   0.402414E+02
   237   0.565566E+04   0.152332E+01   0.189821E-01   0.419356E+02
   238   0.564495E+04   0.157798E+01   0.191470E-01   0.436297E+02
   239   0.563370E+04   0.163460E+01   0.193120E-01   0.453229E+02
   240   0.562170E+04   0.169324E+01   0.194771E-01   0.470131E+02
   241   0.560925E+04   0.175406E+01   0.196423E-01   0.487009E+02
   242   0.559618E+04   0.181691E+01   0.198076E-01   0.503856E+02
   243   0.558251E+04   0.188193E+01   0.199729E-01   0.520657E+02
   244   0.556824E+04   0.194906E+01   0.201383E-01   0.537419E+02
   245   0.555336E+04   0.201836E+01   0.203037E-01   0.554113E+02
   246   0.553794E+04   0.208984E+01   0.204691E-01   0.570754E+02
   247   0.552200E+04   0.216342E+01   0.206345E-01   0.587318E+02
   248   0.550545E+04   0.223947E+01   0.207998E-01   0.603806E+02
   249   0.548844E+04   0.231748E+01   0.209651E-01   0.620211E+02
   250   0.547083E+04   0.239788E+01   0.211303E-01   0.636517E+02
   251   0.545276E+04   0.248039E+01   0.212953E-01   0.652732E+02
   252   0.543400E+04   0.256522E+01   0.214602E-01   0.668841E+02
   253   0.541495E+04   0.265216E+01   0.216250E-01   0.684829E+02
   254   0.539528E+04   0.274149E+01   0.217896E-01   0.700695E+02
   255   0.537509E+04   0.283292E+01   0.219540E-01   0.716441E+02
   256   0.535444E+04   0.292682E+01   0.221182E-01   0.732065E+02
   257   0.533333E+04   0.302274E+01   0.222821E-01   0.747485E+02
   258   0.531170E+04   0.312106E+01   0.224458E-01   0.762829E+02
   259   0.528960E+04   0.322163E+01   0.226092E-01   0.777947E+02
   260   0.526713E+04   0.332444E+01   0.227723E-01   0.792988E+02
   261   0.524413E+04   0.342942E+01   0.229351E-01   0.807728E+02
   262   0.522061E+04   0.353679E+01   0.230976E-01   0.822392E+02
   263   0.519692E+04   0.364634E+01   0.232598E-01   0.836903E+02
   264   0.517263E+04   0.375812E+01   0.234215E-01   0.851189E+02
   265   0.514782E+04   0.387207E+01   0.235829E-01   0.865173E+02
   266   0.512270E+04   0.398841E+01   0.237439E-01   0.879081E+02
   267   0.509705E+04   0.410677E+01   0.239045E-01   0.892687E+02
   268   0.507103E+04   0.422752E+01   0.240647E-01   0.906142E+02
   269   0.504447E+04   0.435036E+01   0.242244E-01   0.919369E+02
   270   0.501769E+04   0.447537E+01   0.243837E-01   0.932371E+02
   271   0.499046E+04   0.460246E+01   0.245425E-01   0.945145E+02
   272   0.496299E+04   0.473194E+01   0.247008E-01   0.957619E+02
   273   0.493508E+04   0.486322E+01   0.248586E-01   0.969940E+02
   274   0.490686E+04   0.499687E+01   0.250159E-01   0.981885E+02
   275   0.487827E+04   0.513240E+01   0.251727E-01   0.993678E+02
   276   0.484944E+04   0.527001E+01   0.253290E-01   0.100510E+03
   277   0.482017E+04   0.540970E+01   0.254847E-01   0.101636E+03
   278   0.479067E+04   0.555141E+01   0.256399E-01   0.102725E+03
   279   0.476087E+04   0.569506E+01   0.257945E-01   0.103784E+03
   280   0.473076E+04   0.584064E+01   0.259485E-01   0.104827E+03
   281   0.470050E+04   0.598824E+01   0.261020E-01   0.105833E+03
   282   0.466979E+04   0.613755E+01   0.262549E-01   0.106808E+03
   283   0.463893E+04   0.628879E+01   0.264071E-01   0.107754E+03
   284   0.460785E+04   0.644189E+01   0.265588E-01   0.108669E+03
   285   0.457653E+04   0.659686E+01   0.267098E-01   0.109554E+03
   286   0.454492E+04   0.675353E+01   0.268603E-01   0.110402E+03
   287   0.451308E+04   0.691192E+01   0.270100E-01   0.111226E+03
   288   0.448109E+04   0.707202E+01   0.271592E-01   0.112013E+03
   289   0.444887E+04   0.723375E+01   0.273077E-01   0.112770E+03
   290   0.441650E+04   0.739697E+01   0.274556E-01   0.113497E+03
   291   0.438398E+04   0.756242E+01   0.276028E-01   0.114178E+03
   292   0.435101E+04   0.772899E+01   0.277493E-01   0.114837E+03
   293   0.431819E+04   0.789630E+01   0.278952E-01   0.115451E+03
   294   0.428507E+04   0.806584E+01   0.280404E-01   0.116042E+03
   295   0.425202E+04   0.823613E+01   0.281850E-01   0.116587E+03
   296   0.421867E+04   0.840864E+01   0.283289E-01   0.117103E+03
   297   0.418525E+04   0.858115E+01   0.284720E-01   0.117588E+03
   298   0.415160E+04   0.875590E+01   0.286145E-01   0.118028E+03
   299   0.411795E+04   0.893212E+01   0.287563E-01   0.118430E+03
   300   0.408415E+04   0.910835E+01   0.288974E-01   0.118795E+03
   301   0.405027E+04   0.928606E+01   0.290379E-01   0.119129E+03
   302   0.401640E+04   0.946452E+01   0.291776E-01   0.119433E+03
   303   0.398245E+04   0.964446E+01   0.293166E-01   0.119692E+03
   304   0.394843E+04   0.982588E+01   0.294549E-01   0.119906E+03
   305   0.391440E+04   0.100073E+02   0.295925E-01   0.120090E+03
   306   0.388030E+04   0.101894E+02   0.297294E-01   0.120236E+03
   307   0.384620E+04   0.103723E+02   0.298656E-01   0.120337E+03
   308   0.381210E+04   0.105574E+02   0.300011E-01   0.120415E+03
   309   0.377808E+04   0.107418E+02   0.301359E-01   0.120440E+03
   310   0.374398E+04   0.109261E+02   0.302699E-01   0.120436E+03
   311   0.370996E+04   0.111127E+02   0.304033E-01   0.120386E+03
   312   0.367602E+04   0.112985E+02   0.305360E-01   0.120306E+03
   313   0.364207E+04   0.114850E+02   0.306679E-01   0.120181E+03
   314   0.360821E+04   0.116723E+02   0.307992E-01   0.120026E+03
   315   0.357441E+04   0.118588E+02   0.309297E-01   0.119825E+03
   316   0.354070E+04   0.120460E+02   0.310596E-01   0.119588E+03
   317   0.350706E+04   0.122324E+02   0.311887E-01   0.119312E+03
   318   0.347350E+04   0.124204E+02   0.313172E-01   0.118999E+03
   319   0.344009E+04   0.126075E+02   0.314450E-01   0.118649E+03
   320   0.340683E+04   0.127947E+02   0.315721E-01   0.118268E+03
   321   0.337364E+04   0.129825E+02   0.316985E-01   0.117842E+03
   322   0.334061E+04   0.131689E+02   0.318243E-01   0.117379E+03
   323   0.330773E+04   0.133552E+02   0.319494E-01   0.116878E+03
   324   0.327501E+04   0.135423E+02   0.320738E-01   0.116332E+03
   325   0.324251E+04   0.137263E+02   0.321976E-01   0.115764E+03
   326   0.321008E+04   0.139118E+02   0.323208E-01   0.115143E+03
   327   0.317789E+04   0.140966E+02   0.324433E-01   0.114492E+03
   328   0.314592E+04   0.142798E+02   0.325653E-01   0.113811E+03
   329   0.311410E+04   0.144630E+02   0.326866E-01   0.113085E+03
   330   0.308251E+04   0.146447E+02   0.328073E-01   0.112321E+03
   331   0.305123E+04   0.148256E+02   0.329274E-01   0.111527E+03
   332   0.302009E+04   0.150065E+02   0.330470E-01   0.110704E+03
   333   0.298919E+04   0.151859E+02   0.331660E-01   0.109842E+03
   334   0.295858E+04   0.153645E+02   0.332844E-01   0.108944E+03
   335   0.292813E+04   0.155408E+02   0.334023E-01   0.108007E+03
   336   0.289799E+04   0.157164E+02   0.335197E-01   0.107041E+03
   337   0.286814E+04   0.158912E+02   0.336366E-01   0.106030E+03
   338   0.283853E+04   0.160637E+02   0.337531E-01   0.104996E+03
   339   0.280929E+04   0.162362E+02   0.338690E-01   0.103925E+03
   340   0.278027E+04   0.164064E+02   0.339845E-01   0.102831E+03
   341   0.275149E+04   0.165744E+02   0.340996E-01   0.101692E+03
   342   0.272309E+04   0.167424E+02   0.342142E-01   0.100523E+03
   343   0.269499E+04   0.169073E+02   0.343285E-01   0.993237E+02
   344   0.266726E+04   0.170707E+02   0.344423E-01   0.980946E+02
   345   0.263977E+04   0.172319E+02   0.345559E-01   0.968355E+02
   346   0.261265E+04   0.173922E+02   0.346690E-01   0.955537E+02
   347   0.258584E+04   0.175496E+02   0.347819E-01   0.942345E+02
   348   0.255940E+04   0.177047E+02   0.348944E-01   0.928852E+02
   349   0.253327E+04   0.178583E+02   0.350067E-01   0.915058E+02
   350   0.250752E+04   0.180089E+02   0.351187E-01   0.901038E+02
   351   0.248229E+04   0.181580E+02   0.352305E-01   0.886718E+02
   352   0.245722E+04   0.183048E+02   0.353421E-01   0.872098E+02
   353   0.243260E+04   0.184486E+02   0.354534E-01   0.857325E+02
   354   0.240829E+04   0.185901E+02   0.355646E-01   0.842179E+02
   355   0.238443E+04   0.187294E+02   0.356757E-01   0.826807E+02
   356   0.236094E+04   0.188664E+02   0.357866E-01   0.811283E+02
   357   0.233784E+04   0.190004E+02   0.358974E-01   0.795461E+02
   358   0.231518E+04   0.191307E+02   0.360081E-01   0.779487E+02
   359   0.229283E+04   0.192587E+02   0.361188E-01   0.763215E+02
   360   0.227094E+04   0.193844E+02   0.362294E-01   0.746755E+02
   361   0.224942E+04   0.195072E+02   0.363400E-01   0.730063E+02
   362   0.222835E+04   0.196270E+02   0.364506E-01   0.713169E+02
   363   0.220766E+04   0.197445E+02   0.365612E-01   0.696095E+02
   364   0.218742E+04   0.198575E+02   0.366718E-01   0.678804E+02
   365   0.216756E+04   0.199683E+02   0.367826E-01   0.661357E+02
   366   0.214815E+04   0.200760E+02   0.368934E-01   0.643723E+02
   367   0.212920E+04   0.201793E+02   0.370043E-01   0.625924E+02
   368   0.211054E+04   0.202804E+02   0.371153E-01   0.607977E+02
   369   0.209249E+04   0.203784E+02   0.372265E-01   0.589858E+02
   370   0.207482E+04   0.204728E+02   0.373379E-01   0.571619E+02
   371   0.205752E+04   0.205634E+02   0.374494E-01   0.553225E+02
   372   0.204067E+04   0.206510E+02   0.375612E-01   0.534719E+02
   373   0.202428E+04   0.207348E+02   0.376732E-01   0.516071E+02
   374   0.200834E+04   0.208157E+02   0.377854E-01   0.497320E+02
   375   0.199277E+04   0.208929E+02   0.378979E-01   0.478465E+02
   376   0.197773E+04   0.209671E+02   0.380107E-01   0.459507E+02
   377   0.196315E+04   0.210368E+02   0.381238E-01   0.440474E+02
   378   0.194894E+04   0.211027E+02   0.382373E-01   0.421338E+02
   379   0.193518E+04   0.211657E+02   0.383511E-01   0.402143E+02
   380   0.192195E+04   0.212258E+02   0.384652E-01   0.382867E+02
   381   0.190909E+04   0.212791E+02   0.385797E-01   0.363540E+02
   382   0.189662E+04   0.213309E+02   0.386946E-01   0.344170E+02
   383   0.188467E+04   0.213783E+02   0.388100E-01   0.324741E+02
   384   0.187324E+04   0.214212E+02   0.389257E-01   0.305290E+02
   385   0.186212E+04   0.214618E+02   0.390419E-01   0.285804E+02
   386   0.185153E+04   0.214980E+02   0.391586E-01   0.266304E+02
   387   0.184131E+04   0.215298E+02   0.392758E-01   0.246791E+02
   388   0.183154E+04   0.215578E+02   0.393935E-01   0.227279E+02
   389   0.182223E+04   0.215799E+02   0.395117E-01   0.207768E+02
   390   0.181337E+04   0.216012E+02   0.396304E-01   0.188281E+02
   391   0.180496E+04   0.216174E+02   0.397497E-01   0.168803E+02
   392   0.179692E+04   0.216313E+02   0.398696E-01   0.149364E+02
   393   0.178942E+04   0.216400E+02   0.399900E-01   0.129957E+02
   394   0.178229E+04   0.216450E+02   0.401111E-01   0.110603E+02
   395   0.177554E+04   0.216455E+02   0.402328E-01   0.912881E+01
